,duration_mean,duration_median,duration_p90,charging_time_mean,charging_time_median,charging_time_p90,waiting_time_mean,waiting_time_median,waiting_time_p90,energy_gini,energy_cv,energy_hhi,energy_p90_p50_ratio,vehicle_gini,vehicle_cv,vehicle_hhi,charging_station_coverage,reroute_count,ev_charging_participation_rate,ev_charging_failures
duration_mean,1.0,0.6600644287074241,0.5323520358625696,0.6281485422935605,0.6860885320066652,0.6680673832371826,0.7272146778593415,0.6416671418153919,0.6415545915883097,0.5217685090850073,0.5311820397391663,0.6792767741832085,0.5793400047765923,0.527118046981717,0.43152098412930395,0.741672275308231,-0.7016620461696496,-0.09825733810759472,-0.7165082426244832,0.6408956728027531
duration_median,0.6600644287074241,1.0,0.2579250702212583,0.43835047457091814,0.5732116598230618,0.43842333553251506,0.5897222146455496,0.6078195858933496,0.486584763184594,0.21501199936461554,0.23356422991830608,0.48145585502196697,0.3915870553506352,0.452136085274099,0.31601549057551315,0.49987669541884244,-0.4762309774844277,0.11543229570717224,-0.5234104583280459,0.36714520433045067
duration_p90,0.5323520358625696,0.2579250702212583,1.0,0.24621443561853942,0.024966899800008324,0.1447318133564416,0.6835367976826436,0.42196579429293213,0.7727929688221133,0.18521166111508086,0.18278663663509037,0.01494501345336337,0.12023570760005096,0.1583000987067083,0.2350168605796481,0.10864309792701975,-0.12296935405327936,-0.1306844324391656,-0.03715943463337995,0.11468926432039568
charging_time_mean,0.6281485422935605,0.43835047457091814,0.24621443561853942,1.0,0.7611987896615445,0.9125975074102382,0.530997570800039,0.5342043817527472,0.4961125105854366,0.7078655726813509,0.6362408152552284,0.8620582294809116,0.5987353438044994,0.7904988035085352,0.769688280113433,0.8894664345786321,-0.8992391646689532,0.10996474052354141,-0.8379475102523403,0.7952120090003917
charging_time_median,0.6860885320066652,0.5732116598230618,0.024966899800008324,0.7611987896615445,1.0,0.7566624418715056,0.42500616027543725,0.459225064598468,0.2782738009627014,0.44164960822318505,0.378931219611924,0.7537450062976017,0.41191428784411094,0.6486270808104553,0.46738321358078666,0.8460948399250239,-0.8346576441241991,0.16415263483526213,-0.7833337411852723,0.7725133928108877
charging_time_p90,0.6680673832371826,0.43842333553251506,0.1447318133564416,0.9125975074102382,0.7566624418715056,1.0,0.5401293822366239,0.5342986472489262,0.414688880853819,0.7072852390644916,0.7746467178883469,0.9033036967950291,0.7616350023164589,0.7867890629700423,0.6904271888744239,0.9259413656949267,-0.9307656346897826,0.0594182476604935,-0.8523862583682467,0.8309044989517148
waiting_time_mean,0.7272146778593415,0.5897222146455496,0.6835367976826436,0.530997570800039,0.42500616027543725,0.5401293822366239,1.0,0.6875182137714099,0.7941679860502944,0.391716645577065,0.370695263966372,0.48188676683474624,0.371150993296043,0.4452834079090488,0.34824325246126175,0.49256387277111024,-0.5269085612097519,-0.02497220346043659,-0.4114025528554372,0.4241666279080796
waiting_time_median,0.6416671418153919,0.6078195858933496,0.42196579429293213,0.5342043817527472,0.459225064598468,0.5342986472489262,0.6875182137714099,1.0,0.7590552733521887,0.3576761944225514,0.5151193467143731,0.5922169096782471,0.36654658331311896,0.3221991596113571,0.21698543199541676,0.46270100514583373,-0.5054351978221259,-0.06548886791973285,-0.47179499094701294,0.4870399879263997
waiting_time_p90,0.6415545915883097,0.486584763184594,0.7727929688221133,0.4961125105854366,0.2782738009627014,0.414688880853819,0.7941679860502944,0.7590552733521887,1.0,0.30113315449595657,0.36793686941170867,0.4474953964515077,0.2570855720665605,0.3773464960674564,0.3808287474731796,0.36531634657241296,-0.39246452809913057,-0.17119848988034667,-0.355065315980152,0.3614071321220609
energy_gini,0.5217685090850073,0.21501199936461554,0.18521166111508086,0.7078655726813509,0.44164960822318505,0.7072852390644916,0.391716645577065,0.3576761944225514,0.30113315449595657,1.0,0.6821784795204175,0.6754366853225001,0.7081613656029032,0.6598312385070094,0.6298947538616433,0.7267136497873152,-0.6198374467511389,-0.03238779735543705,-0.6656957023349639,0.6198821045381238
energy_cv,0.5311820397391663,0.23356422991830608,0.18278663663509037,0.6362408152552284,0.378931219611924,0.7746467178883469,0.370695263966372,0.5151193467143731,0.36793686941170867,0.6821784795204175,1.0,0.7179441330261567,0.721988998948174,0.5228238079295113,0.5391050851035913,0.6775981628071662,-0.6883891761538328,0.003819944046137369,-0.6502480731074933,0.6180601607083263
