,duration_mean,duration_median,duration_p90,charging_time_mean,charging_time_median,charging_time_p90,waiting_time_mean,waiting_time_median,waiting_time_p90,energy_gini,energy_cv,energy_hhi,energy_p90_p50_ratio,vehicle_gini,vehicle_cv,vehicle_hhi,charging_station_coverage,reroute_count,ev_charging_participation_rate,ev_charging_failures
duration_mean,1.0,0.7852011539425382,0.7768330006603043,0.5155374887082205,0.3956548986902417,0.4924345076784101,0.9105691056910569,0.7404300285072968,0.8558813410556912,0.29365401987353207,0.24905149051490516,0.38525293586269194,0.39677055103884373,0.4314363143631436,0.4399503161698284,0.5191734417344174,-0.34198533608359216,-0.19078151108423552,-0.33662749573173895,0.3293585102062854
duration_median,0.7852011539425382,1.0,0.6134831972979797,0.31149717644962965,0.25875374088309905,0.422738903457435,0.8005810798321789,0.798620274992134,0.73045364195927,0.14918867126747726,0.17199299929487985,0.24297118776867355,0.3326629377951822,0.321057365503734,0.23559198747041096,0.27583292508467294,-0.22706908108901463,-0.10356161238477268,-0.11849091598106297,0.09649901665041012
duration_p90,0.7768330006603043,0.6134831972979797,1.0,0.25162324844773615,0.09212762477346122,0.20560768782194405,0.8163442759068432,0.62970845733007,0.8661980182491117,0.19803064704159892,0.1851011214179101,0.08125839859219626,0.17698205685596052,0.24029720984462707,0.2837381575077981,0.2220942445124119,-0.030938914942102994,-0.09388857658015622,-0.011848866572097872,0.029679762548784887
charging_time_mean,0.5155374887082205,0.31149717644962965,0.25162324844773615,1.0,0.7557969500851607,0.6057362240289069,0.38699186991869916,0.31630152565175745,0.37621604579065887,0.1669602529358627,0.09218608852755195,0.6217253839205059,0.17495483288166214,0.37886178861788616,0.48206865401987353,0.7741192411924119,-0.7616179862089911,0.03720062700441008,-0.34540790340516075,0.3987934707155925
charging_time_median,0.3956548986902417,0.25875374088309905,0.09212762477346122,0.7557969500851607,1.0,0.3981503960677508,0.3008598738749051,0.20365734301661392,0.2424594887008484,0.03201237586080753,-0.033988448444808,0.4650094004669894,-0.13301791451157416,0.2801732168812545,0.30186484793191104,0.5820041892831541,-0.733563649212243,0.13965709698130255,-0.3287699265343807,0.3599769993190885
charging_time_p90,0.4924345076784101,0.422738903457435,0.20560768782194405,0.6057362240289069,0.3981503960677508,1.0,0.450316169828365,0.40565908468505324,0.31496632096269234,0.4907181571815718,0.5048780487804878,0.6560749774164408,0.7170731707317073,0.5111788617886179,0.463550135501355,0.6131210478771454,-0.5228606981098729,-0.07867784356328178,-0.40765048444146335,0.4424699362751404
waiting_time_mean,0.9105691056910569,0.8005810798321789,0.8163442759068432,0.38699186991869916,0.3008598738749051,0.450316169828365,1.0,0.7520824082114231,0.8540632721586959,0.2491869918699187,0.2668021680216802,0.2865853658536585,0.3312556458897922,0.37542908762420957,0.32116079494128275,0.3806684733514002,-0.307839977817794,-0.1238956504524559,-0.21683199798921102,0.19731233083225655
waiting_time_median,0.7404300285072968,0.798620274992134,0.62970845733007,0.31630152565175745,0.20365734301661392,0.40565908468505324,0.7520824082114231,1.0,0.7994516235962824,0.27065454548913986,0.22604937186955398,0.30064045555379165,0.3335479535325976,0.22971834273849176,0.22472446572243757,0.2748444196295935,-0.16076956073701282,-0.20778884907334358,-0.23231881515039463,0.17542506113996842
waiting_time_p90,0.8558813410556912,0.73045364195927,0.8661980182491117,0.37621604579065887,0.2424594887008484,0.31496632096269234,0.8540632721586959,0.7994516235962824,1.0,0.18886461057296103,0.18295870974607562,0.2669512343165799,0.2255195897012021,0.29484334720837146,0.31267397322300255,0.3497467694269506,-0.1794759010856793,-0.1954386694791054,-0.16625987397921052,0.1661337880196984
energy_gini,0.29365401987353207,0.14918867126747726,0.19803064704159892,0.1669602529358627,0.03201237586080753,0.4907181571815718,0.2491869918699187,0.27065454548913986,0.18886461057296103,1.0,0.8276874435411021,0.6209575429087624,0.6235772357723577,0.5016034327009937,0.4810523938572719,0.4203929539295393,-0.12269927448395664,-0.10616205909995508,-0.43222884568945863,0.47514255355351925
energy_cv,0.24905149051490516,0.17199299929487985,0.1851011214179101,0.09218608852755195,-0.033988448444808,0.5048780487804878,0.2668021680216802,0.22604937186955398,0.18295870974607562,0.8276874435411021,1.0,0.5706187895212286,0.6211833785004517,0.5090785907859079,0.44460252935862693,0.3656052393857272,-0.12678359334875222,-0.08032005395219503,-0.3842134631870531,0.4157850393140302
