,duration_mean,duration_median,duration_p90,charging_time_mean,charging_time_median,charging_time_p90,waiting_time_mean,waiting_time_median,waiting_time_p90,energy_gini,energy_cv,energy_hhi,energy_p90_p50_ratio,vehicle_gini,vehicle_cv,vehicle_hhi,charging_station_coverage,reroute_count,ev_charging_participation_rate,ev_charging_failures
duration_mean,1.0,4.077567631080842e-18,1.5484368205907815e-17,8.431535342910643e-07,0.0002562547919437962,3.0185363035558815e-06,4.7976543288516534e-32,2.798591042914513e-15,2.4807525345929252e-24,0.0077968207490674134,0.02495622593499334,0.00038301817590226454,0.00024524945250960987,5.789670020136255e-05,3.962471238330989e-05,6.838671914140722e-07,0.0017791277627365266,0.08799794633809244,0.002120828810446209,0.0026785759837593282
duration_median,4.077567631080842e-18,1.0,1.1358361444252817e-09,0.00464474518662296,0.01967639805093903,8.441466984229676e-05,2.985136282163166e-19,4.218408962264362e-19,1.002144177231938e-14,0.18375513747356792,0.12469947960927048,0.028843603115177894,0.0024105089075106825,0.0034735270955550722,0.0342367308765852,0.012685862981162971,0.041492995163198286,0.35754935498073837,0.2920843849402439,0.39144775736365156
duration_p90,1.5484368205907815e-17,1.1358361444252817e-09,1.0,0.023451240861814365,0.41335548812424605,0.06555782197859186,1.598594747091007e-20,3.0242496009741214e-10,1.6235615840664547e-25,0.07636636653915102,0.09805709591708052,0.4708156664237564,0.11397268073096545,0.03070853669829783,0.010260013891565901,0.04628959490928087,0.7839401748190041,0.404445920436985,0.916386934438574,0.7925320554065787
charging_time_mean,8.431535342910643e-07,0.00464474518662296,0.023451240861814365,1.0,3.4858737678417153e-16,2.0814537767413062e-09,0.0003584579610585805,0.0040183580569442675,0.000537350716028047,0.1362859112115393,0.4130578725739269,5.854698691219865e-10,0.11824201791216243,0.0004871307446218863,5.193626767993872e-06,2.3576473494774494e-17,1.5206543450686748e-16,0.7416145801954183,0.0015876913579319495,0.0002263963102768089
charging_time_median,0.0002562547919437962,0.01967639805093903,0.41335548812424605,3.4858737678417153e-16,1.0,0.00023223978595801842,0.006348946439792347,0.06821405538562954,0.02919288969038675,0.7766356709564151,0.7632401884684793,1.221776383154671e-05,0.23648308967007958,0.011298668060876002,0.006167153210128339,1.207547369762555e-08,6.774688050304516e-15,0.21369021223059084,0.0027290337827444206,0.0009639720861436002
charging_time_p90,3.0185363035558815e-06,8.441466984229676e-05,0.06555782197859186,2.0814537767413062e-09,0.00023223978595801842,1.0,2.4628911203507632e-05,0.00017191114948905862,0.00418441362932107,3.3063769024302212e-06,1.5364211683998505e-06,2.9644547610045975e-11,5.087977459645051e-14,1.0802782153266016e-06,1.3117735528223894e-05,1.16888439988179e-09,5.516564442605175e-07,0.4850658133877369,0.0001585394707061407,3.534935895834462e-05
waiting_time_mean,4.7976543288516534e-32,2.985136282163166e-19,1.598594747091007e-20,0.0003584579610585805,0.006348946439792347,2.4628911203507632e-05,1.0,5.847956443747075e-16,3.923887642434972e-24,0.0248749324601964,0.016052660583119212,0.009491339609237892,0.0025215806414778355,0.0005531761729461568,0.0034624490621771426,0.00045534479041192265,0.005178208559707379,0.27046954896379893,0.051852537190551655,0.07746097562013966
waiting_time_median,2.798591042914513e-15,4.218408962264362e-19,3.0242496009741214e-10,0.0040183580569442675,0.06821405538562954,0.00017191114948905862,5.847956443747075e-16,1.0,3.644815888397025e-19,0.014532322917521302,0.04244099966653127,0.006389261169925352,0.002342927849800565,0.03911193639697632,0.043699512771270904,0.013021716273339534,0.1516345417904923,0.0626869663350383,0.03688652051595175,0.11724092135657027
waiting_time_p90,2.4807525345929252e-24,1.002144177231938e-14,1.6235615840664547e-25,0.000537350716028047,0.02919288969038675,0.00418441362932107,3.923887642434972e-24,3.644815888397025e-19,1.0,0.09129697000065096,0.10207698543593496,0.015991376641536166,0.0429405779344039,0.0075395046928405825,0.004483786598985793,0.001371808329642481,0.10888509429814115,0.08037522533394313,0.13796089668034278,0.13826408249920888
energy_gini,0.0077968207490674134,0.18375513747356792,0.07636636653915102,0.1362859112115393,0.7766356709564151,3.3063769024302212e-06,0.0248749324601964,0.014532322917521302,0.09129697000065096,1.0,1.6259187430638822e-21,6.23263503821122e-10,5.031284735404416e-10,1.8399828919969851e-06,5.4722369505607785e-06,9.328915894869025e-05,0.2751588529623594,0.34553914931313323,5.59124201184198e-05,7.3911395788695865e-06
energy_cv,0.02495622593499334,0.12469947960927048,0.09805709591708052,0.4130578725739269,0.7632401884684793,1.5364211683998505e-06,0.016052660583119212,0.04244099966653127,0.10207698543593496,1.6259187430638822e-21,1.0,2.6731027660534244e-08,6.119120720903347e-10,1.215815649449595e-06,3.2070591272421754e-05,0.0007899290902134186,0.259372482840993,0.4759709360652725,0.00039842640384339596,0.00011328682974074081
