,avg_dist_to_center,avg_pairwise_distance,std_pairwise_distance,min_pairwise_distance,max_pairwise_distance,cs_density_std,cluster_count,coverage_ratio,max_gap_distance,gini_coefficient,avg_betweenness_centrality
avg_dist_to_center,1.0,0.9935573123646305,0.9908816295571006,0.21152849410356134,0.8192294465161819,-0.67318106330181,0.5031587809541201,0.6724036165017518,-0.6845508903209689,-0.3353561138434198,-0.07168050837698302
avg_pairwise_distance,0.9935573123646305,1.0,0.9862345470758321,0.23712369889481716,0.862795822717316,-0.7294095483479528,0.5742575388384147,0.740494516265742,-0.7507266262536222,-0.3853218261274935,-0.07756879991936018
std_pairwise_distance,0.9908816295571006,0.9862345470758321,1.0,0.15780601325561328,0.8083144246420009,-0.6579159833365451,0.49014046036900527,0.6465783802759288,-0.6631067684605418,-0.31249519440658374,-0.08460657274967157
min_pairwise_distance,0.21152849410356134,0.23712369889481716,0.15780601325561328,1.0,0.2644096342081758,-0.2751965523670025,0.25967766663308456,0.28917567934680577,-0.3538536005640874,-0.36953493437772555,0.10357337158446739
max_pairwise_distance,0.8192294465161819,0.862795822717316,0.8083144246420009,0.2644096342081758,1.0,-0.8810512929049801,0.7963928224831741,0.8502152835537631,-0.905968741452708,-0.5364732383077878,-0.05703801723939693
cs_density_std,-0.67318106330181,-0.7294095483479528,-0.6579159833365451,-0.2751965523670025,-0.8810512929049801,1.0,-0.9145164345912608,-0.8743166921743887,0.9115645658452884,0.46220119220060035,0.005275585564383033
cluster_count,0.5031587809541201,0.5742575388384147,0.49014046036900527,0.25967766663308456,0.7963928224831741,-0.9145164345912608,1.0,0.8365511056677805,-0.8770555912034077,-0.5309454697901228,-0.05236940116683562
coverage_ratio,0.6724036165017518,0.740494516265742,0.6465783802759288,0.28917567934680577,0.8502152835537631,-0.8743166921743887,0.8365511056677805,1.0,-0.9162746358403369,-0.5095334117246194,-0.07775825571902181
max_gap_distance,-0.6845508903209689,-0.7507266262536222,-0.6631067684605418,-0.3538536005640874,-0.905968741452708,0.9115645658452884,-0.8770555912034077,-0.9162746358403369,1.0,0.6778196853992842,0.06836924813797116
gini_coefficient,-0.3353561138434198,-0.3853218261274935,-0.31249519440658374,-0.36953493437772555,-0.5364732383077878,0.46220119220060035,-0.5309454697901228,-0.5095334117246194,0.6778196853992842,1.0,0.18626333863885955
avg_betweenness_centrality,-0.07168050837698302,-0.07756879991936018,-0.08460657274967157,0.10357337158446739,-0.05703801723939693,0.005275585564383033,-0.05236940116683562,-0.07775825571902181,0.06836924813797116,0.18626333863885955,1.0
